Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[8]      0.4    0.06    0.00                 std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int) [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      0.3    0.05    0.00                 std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     0.3    0.05    0.00                 std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*) [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     0.3    0.05    0.00                 std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     0.3    0.04    0.00                 float& cv::Mat::at<float>(cv::Point_<int>) [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     0.3    0.04    0.00                 unsigned char& cv::Mat::at<unsigned char>(cv::Point_<int>) [13]
-----------------------------------------------
                                                 <spontaneous>
[14]     0.2    0.04    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     0.2    0.04    0.00                 std::vector<bool, std::allocator<bool> >::begin() const [15]
-----------------------------------------------
                                                 <spontaneous>
[16]     0.2    0.04    0.00                 std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*) [16]
-----------------------------------------------
                                                 <spontaneous>
[17]     0.2    0.03    0.00                 std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     0.2    0.03    0.00                 std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long) [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     0.2    0.03    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     0.2    0.03    0.00                 std::vector<int, std::allocator<int> >::back() [20]
-----------------------------------------------
                                                 <spontaneous>
[21]     0.2    0.03    0.00                 std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&) [21]
-----------------------------------------------
                                                 <spontaneous>
